City,City_ID,District_Name,District_ID
Riyadh ,21282,Al Mutamarat,3625
Riyadh ,21282,Middle Al Uraija,3626
Riyadh ,21282,Al Tadamun,3628
Riyadh ,21282,Al Mahdiyah,3629
Riyadh ,21282,Khashm Al An,3638
Riyadh ,21282,Hyt,3639
Riyadh ,21282,Al Bariyah,3642
Riyadh ,21282,Umm Al Hamam Eastern,3649
Riyadh ,21282,Al Mughrazat,3650
Riyadh ,21282,King Abdulaziz,3651
Riyadh ,21282,Al Muruj,3652
Riyadh ,21282,Tuwaiq,3653
Riyadh ,21282,King Saud University,3682
Riyadh ,21282,Umm Al Shaeal,3690
Riyadh ,21282,An Nadheem,3697
Riyadh ,21282,Dahiyat Namar,3698
Riyadh ,21282,Oraid,3699
Riyadh ,21282,Al Misfat,3707
Riyadh ,21282,Ar Rabiyah,3708
Riyadh ,21282,An Nasriyah,3724
Riyadh ,21282,Ash Sharafiyah,3725
Riyadh ,21282,Dhahrat Al Badeah,3815
Riyadh ,21282,Al Hada,3832
Riyadh ,21282,Al Shumaisi,2834
Riyadh ,21282,Al Futah,3836
Riyadh ,21282,Al Ghadir,4642
Riyadh ,21282,????? ?????? ????? ?????? ????? (Open area belonging to Al-Sali Municipality),5248
Riyadh ,21282,??_001022088,5249
Riyadh ,21282,??????? (Al-Bashair),5250
Riyadh ,21282,??_001022142,5251
Riyadh ,21282,????? ????? (King Salman),5253
Riyadh ,21282,???? (Sidrah),5254
Riyadh ,21282,????? ?????? ????? ?????? ?????? (Open area belonging to Al-Rawdah Municipality),5255
Riyadh ,21282,????? ?????? ????? ?????? ???? (Open area belonging to Nammar Municipality),5256
Riyadh ,21282,????? ?????? ????? ?????? ????? (Open area belonging to East Municipality),5257
Riyadh ,21282,????? ?????? ????? ?????? ???????? (Open area belonging to Al-Aziziyah Municipality),5258
Riyadh ,21282,????? ?????? ????? ?????? ???? ?????? ???? (Open area belonging to Irqah Municipality and Jakher Municipality),5259
